user_id,Codigo_cancion,Numero de estrofa,Texo de estrofa
446747853,10000,3,"
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa

"
446747853,10000,4,"
Okay, I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me, yeah
I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me

"
446747853,10000,5,"
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa

"
459450208,10001,0,"
Aquí estás
Ya no puedes detenerte
¿Dónde vas? Si estoy loco por tenerte
Cómo lo iba a saber
Que te vería otra vez

"
459450208,10001,1,"
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

"
459450208,10001,2,"
Te hablo en serio mai, no estoy jugando
Tanto tiempo pasa y nada
Estas ganas no me aguanto
Y aunque tú me esquives, yo te sigo deseando
Dicen que tú eres peligrosa
No le hago caso a esas cosas
Dime qué está pasando
Me tienes como un loco, soy un loco enamorado, eh
Quiero saber cuánto me vas a insistir
Y hasta dónde llegarías por mí
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
De la manera que te mueves así
Yo te lo juro me voy a derretir
Tú sabes que soy buena
Por más que yo te esquive me sigues deseando

"
459450208,10001,3,"
Enloque-que-quecer
Yo no pido nada extraordinario
Solo un hombre de verdad
Que se tire por mí al barro
Que cambie las bombillas y hasta que me lave el carro
Quiero un tipo atento y cariñoso
Pero que no sea muy celoso
Que en la calle sea un príncipe
Pero que en mi cama sea salvaje y peligroso

"
459450208,10001,4,"
Puedes pedir lo que quieras de mí
Yo haría lo que fuera para ti
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
Yo estoy seguro que estoy hecho pa' ti
Yo te lo juro no te haré sufrir
Como te dije nena
Por más que tú me esquives, te sigo deseando

"
459450208,10001,5,"
Enloque-que-quecer
Aquí estás
Ya no puedes detenerte
¿Dónde vas? (¡Oh!)
Si estoy loco por tenerte

"
393673671,10003,0,"
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

"
393673671,10003,1,"
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

"
393673671,10003,2,"
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

"
393673671,10003,3,"
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

"
393673671,10003,4,"
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

"
511692637,10003,0,"
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

"
511692637,10003,1,"
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

"
511692637,10003,2,"
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

"
511692637,10003,3,"
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

"
511692637,10003,4,"
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

"
493889538,10003,0,"
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

"
493889538,10003,1,"
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

"
493889538,10003,2,"
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

"
493889538,10003,3,"
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

"
493889538,10003,4,"
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

"
12948877,10003,0,"
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

"
12948877,10003,1,"
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

"
12948877,10003,2,"
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

"
12948877,10003,3,"
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

"
12948877,10003,4,"
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

"
514577593,10003,0,"
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

"
514577593,10003,1,"
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

"
514577593,10003,2,"
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

"
514577593,10003,3,"
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

"
514577593,10003,4,"
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

"
393042666,10004,0,"
Si el ritmo te lleva a mover la cabeza ya empezamos cómo es
Mi música no discrimina a nadie así que vamos a romper

Con lo mío todos se mueven
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi gente no se detiene, aquí nadie se quiere ir

Si el ritmo está en tu cabeza
Ahora suéltate y mueve los pies
Me encanta cuando el bajo suena
Empezamos a subir de nivel

Toda mi gente se mueve
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi musica los tiene fuerte bailando y se baila así

"
393042666,10004,1,"
Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme-ça
Ma ch"
393042666,10004,2,"
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay yeah, yeah, yeah)

"
393042666,10004,3,"
He say my body stay wetter than the ocean
And he say that Creole in my body is like a potion
I can be a beast or I can give you emotion
But please don't question my devotion
I been giving birth on these haters 'cause I'm fertile
See these double Cs on this bag, murda
Want my double Ds in his bed, Serta
If you really love me make an album about me, word up

Soon as I walk in
Boys start they talkin
Right as that booty sway (Freeze)
Slay
Lift up your people
From Texas, Puerto Rico
Dem' islands to México (Freeze)

"
393042666,10004,4,"
Esquina a esquina, de ahí no' vamo' (de ahí no' vamo')
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Mi gente no se detiene, aquí nadie se quiere ir

"
393042666,10004,5,"
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Oh, yes, I am)

"
4063874,10004,0,"
Si el ritmo te lleva a mover la cabeza ya empezamos cómo es
Mi música no discrimina a nadie así que vamos a romper

Con lo mío todos se mueven
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi gente no se detiene, aquí nadie se quiere ir

Si el ritmo está en tu cabeza
Ahora suéltate y mueve los pies
Me encanta cuando el bajo suena
Empezamos a subir de nivel

Toda mi gente se mueve
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi musica los tiene fuerte bailando y se baila así

"
4063874,10004,1,"
Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme-ça
Ma ch"
4063874,10004,2,"
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay yeah, yeah, yeah)

"
4063874,10004,3,"
He say my body stay wetter than the ocean
And he say that Creole in my body is like a potion
I can be a beast or I can give you emotion
But please don't question my devotion
I been giving birth on these haters 'cause I'm fertile
See these double Cs on this bag, murda
Want my double Ds in his bed, Serta
If you really love me make an album about me, word up

Soon as I walk in
Boys start they talkin
Right as that booty sway (Freeze)
Slay
Lift up your people
From Texas, Puerto Rico
Dem' islands to México (Freeze)

"
4063874,10004,4,"
Esquina a esquina, de ahí no' vamo' (de ahí no' vamo')
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Mi gente no se detiene, aquí nadie se quiere ir

"
4063874,10004,5,"
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Oh, yes, I am)

"
500737046,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
500737046,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
500737046,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
500737046,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
500737046,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
500737046,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
500737046,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
470682426,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
470682426,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
470682426,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
470682426,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
470682426,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
470682426,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
470682426,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
4510614,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
4510614,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
4510614,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
4510614,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
4510614,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
4510614,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
4510614,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
32849547,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
32849547,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
32849547,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
32849547,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
32849547,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
32849547,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
32849547,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
281082907,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
281082907,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
281082907,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
281082907,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
281082907,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
281082907,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
281082907,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
545227712,10005,0,"
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

"
545227712,10005,1,"
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

"
545227712,10005,2,"
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

"
545227712,10005,3,"
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

"
545227712,10005,4,"
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

"
545227712,10005,5,"
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

"
545227712,10005,6,"
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

"
388019140,10006,0,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
388019140,10006,1,"
Tu cuerpo me mata, mata
No hay quien te pare
Falta, falta
Un hombre que sabe como amarte

"
388019140,10006,2,"
Solo quiere bailar sola
Dejar lo malo atrás
Ahora nadie te controla
No te hará daño jamás

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Ven y déjate llevar

"
388019140,10006,3,"
No hay tiempo que perder
Dime qué tengo que hacer
Pa' rescatarte
Pa' enamorarte
Eh, eh
Olvida el mal
Soy el tequila y tú la sal
Baby dame una señal y aquí estaré

"
388019140,10006,4,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
388019140,10006,5,"
Solo quiere bailar sola
Deja lo malo atrás
Ahora nadie te controla
No te hará daño jamas

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Baby, déjate llevar

"
388019140,10006,6,"
Déjame te explico
Te escribo una canción
Y la leeré, te la dedico
Te juro hasta que no estés bien
Yo no me quito
Haré que se te pasen las horas
Sin pensar en ese tipo
Quiero aprovechar el tiempo
Y decirte de una vez
Quiero ser el que te ponga
El mundo al revés
Solo que quieras
Tu dile y si era
Yo quiero verte sonreír otra vez

"
388019140,10006,7,"
Yo sé que está dolida
Yo nunca podré cerrar esa herida
Pero puede ser que tú lo olvides
Y ser la vida mía
No te puedo mentir acerca de mi propuesta
No sé si es indecente pero seré tu poeta
Pa' llevarte a la playa conmigo
Sacar, poner su blusa y ante la pisci, dejar todo a nombre mío
Ahora dime qué tal, dime si tú te vas

"
492729980,10006,0,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
492729980,10006,1,"
Tu cuerpo me mata, mata
No hay quien te pare
Falta, falta
Un hombre que sabe como amarte

"
492729980,10006,2,"
Solo quiere bailar sola
Dejar lo malo atrás
Ahora nadie te controla
No te hará daño jamás

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Ven y déjate llevar

"
492729980,10006,3,"
No hay tiempo que perder
Dime qué tengo que hacer
Pa' rescatarte
Pa' enamorarte
Eh, eh
Olvida el mal
Soy el tequila y tú la sal
Baby dame una señal y aquí estaré

"
492729980,10006,4,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
492729980,10006,5,"
Solo quiere bailar sola
Deja lo malo atrás
Ahora nadie te controla
No te hará daño jamas

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Baby, déjate llevar

"
492729980,10006,6,"
Déjame te explico
Te escribo una canción
Y la leeré, te la dedico
Te juro hasta que no estés bien
Yo no me quito
Haré que se te pasen las horas
Sin pensar en ese tipo
Quiero aprovechar el tiempo
Y decirte de una vez
Quiero ser el que te ponga
El mundo al revés
Solo que quieras
Tu dile y si era
Yo quiero verte sonreír otra vez

"
492729980,10006,7,"
Yo sé que está dolida
Yo nunca podré cerrar esa herida
Pero puede ser que tú lo olvides
Y ser la vida mía
No te puedo mentir acerca de mi propuesta
No sé si es indecente pero seré tu poeta
Pa' llevarte a la playa conmigo
Sacar, poner su blusa y ante la pisci, dejar todo a nombre mío
Ahora dime qué tal, dime si tú te vas

"
313183839,10006,0,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
313183839,10006,1,"
Tu cuerpo me mata, mata
No hay quien te pare
Falta, falta
Un hombre que sabe como amarte

"
313183839,10006,2,"
Solo quiere bailar sola
Dejar lo malo atrás
Ahora nadie te controla
No te hará daño jamás

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Ven y déjate llevar

"
313183839,10006,3,"
No hay tiempo que perder
Dime qué tengo que hacer
Pa' rescatarte
Pa' enamorarte
Eh, eh
Olvida el mal
Soy el tequila y tú la sal
Baby dame una señal y aquí estaré

"
313183839,10006,4,"
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

"
313183839,10006,5,"
Solo quiere bailar sola
Deja lo malo atrás
Ahora nadie te controla
No te hará daño jamas

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Baby, déjate llevar

"
313183839,10006,6,"
Déjame te explico
Te escribo una canción
Y la leeré, te la dedico
Te juro hasta que no estés bien
Yo no me quito
Haré que se te pasen las horas
Sin pensar en ese tipo
Quiero aprovechar el tiempo
Y decirte de una vez
Quiero ser el que te ponga
El mundo al revés
Solo que quieras
Tu dile y si era
Yo quiero verte sonreír otra vez

"
313183839,10006,7,"
Yo sé que está dolida
Yo nunca podré cerrar esa herida
Pero puede ser que tú lo olvides
Y ser la vida mía
No te puedo mentir acerca de mi propuesta
No sé si es indecente pero seré tu poeta
Pa' llevarte a la playa conmigo
Sacar, poner su blusa y ante la pisci, dejar todo a nombre mío
Ahora dime qué tal, dime si tú te vas

"
513594025,10007,0,"
¡Oh!
Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (oh, yeah!)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

"
513594025,10007,1,"
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

"
513594025,10007,2,"
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (woah, woah)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

"
513594025,10007,3,"
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

"
513594025,10007,4,"
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!

"
513594025,10007,5,"
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

"
513594025,10007,6,"
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (whoa, whoa)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

"
513594025,10007,7,"
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""¡Ay, Bendito!""
Para que mi sello se quede contigo
¡Bailalo!

"
514577593,10007,0,"
¡Oh!
Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (oh, yeah!)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

"
514577593,10007,1,"
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

"
514577593,10007,2,"
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (woah, woah)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

"
